,type,department,semester,section,gender,age,height,weight,bmi,bmi_type,fav_sport,act_level,meals,sleep,current_btype,goal,actual_current_btype,goal_suggested
131,Student,CE,6th,A,Male,19,1.8542,60,17.451714393014072,underweight,Cricket,high moderate,3,8,fit,Gain-weight,weak,Gain-weight
132,Student,ME,8th,NONE,Male,20,1.8288,67,20.032833275543094,healthy,Volleyball,very high,4,8,fit,Get FIT,fit,Get FIT
133,Student,ME,8th,NONE,Male,21,1.7272,52,17.430830709412284,underweight,Cricket,high moderate,3,7,fit,Gain-weight,weak,Gain-weight
134,Student,CE,6th,NONE,Male,21,1.7526,75,24.41718809083491,over-weight,Gym,high moderate,3,7,fit but also fat,Get FIT,fit but also fat,Lose-Weight
135,Student,CSE,4th,NONE,Male,20,1.778,58,18.346975469461142,healthy,Pubg,low,3,7,skinny,Gain-weight,skinny,Get FIT
136,Student,CSE,4th,B,Male,21,1.8288,65,19.434838252392556,healthy,Gym,moderate,3,7,fit but also fat,Get FIT,skinny,Get FIT
137,Student,CSE,6th,A,Female,21,1.5748,46,18.54842419362258,healthy,Football,low,2,8,fit but also fat,Get FIT,skinny,Get FIT
138,Student,CSE,6th,A,Female,19,1.5748,67,27.016183064624194,over-weight,Football,low,3,8,fat,Gain-weight,fit but also fat,Lose-Weight
139,Student,CSE,6th,A,Female,20,1.7018,40,13.811566941467587,underweight,Cricket,high moderate,4,8,skinny,Gain-weight,weak,Gain-weight
140,Student,CSE,6th,A,Female,20,1.524,40,17.222256666735554,underweight,Basketball,moderate,3,7,fit but also fat,Lose-Weight,weak,Gain-weight
141,Student,CSE,4th,NONE,Male,19,1.7526,64,20.836000504179122,healthy,BadMinton ,low,2,7,fit but also fat,Get FIT,fit,Get FIT
142,Faculty,CE,,NONE,Male,29,1.778,85,26.88780887765857,over-weight,Football,moderate,3,6,fit but also fat,Get FIT,fit but also fat,Lose-Weight
143,Faculty,AS (for faculty),,NONE,Female,31,1.6764,65,23.12906370532668,healthy,Basketball,low,2,7,fit but also fat,Lose-Weight,fit,Get FIT
144,Student,ECE,6th,NONE,Female,21,1.4478,34,16.220407940969775,underweight,Volleyball,low,2,7,skinny,Get FIT,weak,Gain-weight
145,Student,ECE,6th,NONE,Female,20,1.651,45,16.508908757462486,underweight,Cricket,hypteractive,3,6,fit,Get FIT,weak,Gain-weight
146,Student,CSE,4th,NONE,Female,18,1.778,58,18.346975469461142,healthy,Gym,high moderate,4,8,fit but also fat,Get FIT,skinny,Get FIT
147,Student,ME,4th,NONE,Male,20,1.8288,65,19.434838252392556,healthy,Cricket,moderate,3,6,weak,Get FIT,skinny,Get FIT
148,Student,ECE,6th,NONE,Male,29,1.778,58,18.346975469461142,healthy,Chess ,moderate,3,6,fit but also fat,Get FIT,skinny,Get FIT
149,Student,CE,4th,NONE,Male,19,1.651,56,20.544419787064424,healthy,Kabaddi ,high moderate,3,7,fit but also fat,Get FIT,fit,Get FIT
150,Student,CE,4th,NONE,Male,22,1.8288,80,23.919800926021605,healthy,Gym,low,2,8,fit but also fat,Lose-Weight,fit,Get FIT
151,Student,CE,4th,NONE,Male,19,1.7526,56,18.231500441156733,healthy,Football,moderate,3,8,skinny,Get FIT,skinny,Get FIT
152,Student,ECE,6th,NONE,Female,21,1.5494,35,14.57944329487154,underweight,Cricket,moderate,3,8,skinny,Get FIT,weak,Gain-weight
153,Student,CE,4th,NONE,Male,22,1.8542,55,15.9974048602629,underweight,Basketball,low,3,5,skinny,Gain-weight,weak,Gain-weight
154,Student,CE,4th,NONE,Male,18,1.7018,50,17.264458676834483,underweight,Cricket,moderate,3,7,skinny,Get FIT,weak,Gain-weight
155,Faculty,ECE,,NONE,Female,33,1.5494,65,27.07610897619,over-weight,Bedminton,moderate,3,6,fit but also fat,Get FIT,fit but also fat,Lose-Weight
156,Student,CSE,6th,A,Female,22,1.524,69,29.708392750118833,over-weight,Cricket,moderate,2,7,fat,Lose-Weight,fit but also fat,Lose-Weight
157,Faculty,CSE,,NONE,Male,40,1.778,83,26.255154551125425,over-weight,Badminton ,very high,2,6,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
158,Faculty,CSE,,NONE,Male,33,1.7526,59,19.208187964790127,healthy,Football,low,3,8,fit,Get FIT,skinny,Get FIT
159,Student,CSE,6th,B,Male,21,1.8796,76,21.51209561732491,healthy,Cricket,moderate,3,5,fit,Get FIT,fit,Get FIT
160,Student,CSE,6th,NONE,Male,19,1.778,66,20.877592775593712,healthy,Cricket,very high,3,7,fit,Get FIT,fit,Get FIT
161,Student,CSE,4th,NONE,Male,20,1.651,55,20.177555148009702,healthy,Cricket,moderate,3,6,skinny,Gain-weight,fit,Get FIT
162,Student,CSE,4th,A,Male,20,1.8542,55,15.9974048602629,underweight,Cricket,low,3,7,skinny,Get FIT,weak,Gain-weight
